#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321A36C31
#Date Time: 2025-01-07 22:35:35.285
#Sample rate: 1e+08Hz
#Samples: 16384

Time (s),ser3,ser1,ser2,rclk,clk,Bus
-8.091e-05,0,0,0,1,1,h00
-8.09e-05,0,0,0,1,1,h00
-8.089000000000001e-05,0,0,0,1,0,h00
-8.088e-05,0,0,0,1,0,h00
-8.087e-05,0,0,0,1,0,h00
-8.085999999999999e-05,0,0,0,1,0,h00
-8.085e-05,0,0,0,1,0,h00
-8.084000000000001e-05,0,0,0,1,0,h00
-8.083e-05,0,0,0,1,1,h00
-8.082e-05,0,0,0,1,1,h00
-8.080999999999999e-05,0,0,0,1,1,h00
-8.08e-05,0,0,0,1,1,h00
-8.079e-05,0,0,0,1,1,h00
-8.078e-05,0,0,0,1,1,h00
-8.077e-05,0,0,0,1,0,h00
-8.076000000000001e-05,0,0,0,1,0,h00
-8.075e-05,0,0,0,1,0,h00
-8.074e-05,0,0,0,1,0,h00
-8.072999999999999e-05,0,0,0,1,0,h00
-8.072e-05,0,0,0,1,0,h00
-8.071e-05,0,0,0,1,0,h00
-8.07e-05,0,0,0,1,1,h00
-8.069e-05,0,0,0,1,1,h00
-8.067999999999999e-05,0,0,0,1,1,h00
-8.067e-05,0,0,0,1,1,h00
-8.066e-05,0,0,0,1,1,h00
-8.065e-05,0,0,0,1,1,h00
-8.064e-05,0,0,0,1,0,h00
-8.063000000000001e-05,0,0,0,1,0,h00
-8.062e-05,0,0,0,1,0,h00
-8.061e-05,0,0,0,1,0,h00
-8.059999999999999e-05,0,0,0,1,0,h00
-8.059e-05,0,0,0,1,0,h00
-8.058e-05,0,0,0,1,0,h00
-8.057e-05,0,0,0,1,1,h00
-8.056e-05,0,0,0,1,1,h00
-8.055000000000001e-05,0,0,0,1,1,h00
-8.054e-05,0,0,0,1,1,h00
-8.053e-05,0,0,0,1,1,h00
-8.051999999999999e-05,0,0,0,1,1,h00
-8.051e-05,0,0,0,1,0,h00
-8.050000000000001e-05,0,0,0,1,0,h00
-8.049e-05,0,0,0,1,0,h00
-8.048e-05,0,0,0,1,0,h00
-8.046999999999999e-05,0,0,0,1,0,h00
-8.046e-05,0,0,0,1,0,h00
-8.045e-05,0,0,0,1,1,h00
-8.044e-05,0,0,0,1,1,h00
-8.043e-05,0,0,0,1,1,h00
-8.042000000000001e-05,0,0,0,1,1,h00
-8.041e-05,0,0,0,1,1,h00
-8.04e-05,0,0,0,1,1,h00
-8.038999999999999e-05,0,0,0,1,1,h00
-8.038e-05,0,0,0,1,0,h00
-8.037e-05,0,0,0,1,0,h00
-8.036e-05,0,0,0,1,0,h00
-8.035e-05,0,0,0,1,0,h00
-8.034000000000001e-05,0,0,0,1,0,h00
-8.033e-05,0,0,0,1,0,h00
-8.032e-05,0,0,0,1,1,h00
-8.031e-05,0,0,0,1,1,h00
-8.03e-05,0,0,0,1,1,h00
-8.029000000000001e-05,0,0,0,1,1,h00
-8.028e-05,0,0,0,1,1,h00
-8.027e-05,0,0,0,1,1,h00
-8.025999999999999e-05,0,0,0,1,1,h00
-8.025e-05,0,0,0,1,0,h00
-8.024e-05,0,0,0,1,0,h00
-8.023e-05,0,0,0,1,0,h00
-8.022e-05,0,0,0,1,0,h00
-8.021000000000001e-05,0,0,0,1,0,h00
-8.02e-05,0,0,0,1,0,h00
-8.019e-05,0,0,0,1,1,h00
-8.017999999999999e-05,0,0,0,1,1,h00
-8.017e-05,0,0,0,1,1,h00
-8.016000000000001e-05,0,0,0,1,1,h00
-8.015e-05,0,0,0,1,1,h00
-8.014e-05,0,0,0,1,1,h00
-8.012999999999999e-05,0,0,0,1,0,h00
-8.012e-05,0,0,0,1,0,h00
-8.011e-05,0,0,0,1,0,h00
-8.01e-05,0,0,0,1,0,h00
-8.009e-05,0,0,0,1,0,h00
-8.008000000000001e-05,0,0,0,1,0,h00
-8.007e-05,0,0,0,1,0,h00
-8.006e-05,0,0,0,1,1,h00
-8.004999999999999e-05,0,0,0,1,1,h00
-8.004e-05,0,0,0,1,1,h00
-8.003e-05,0,0,0,1,1,h00
-8.002e-05,0,0,0,1,1,h00
-8.001e-05,0,0,0,1,1,h00
-8.000000000000001e-05,0,0,0,1,0,h00
-7.999e-05,0,0,0,1,0,h00
-7.998e-05,0,0,0,1,0,h00
-7.996999999999999e-05,0,0,0,1,0,h00
-7.996e-05,0,0,0,1,0,h00
-7.995000000000001e-05,0,0,0,1,0,h00
-7.994e-05,0,0,0,1,0,h00
-7.993e-05,0,0,0,1,1,h00
-7.991999999999999e-05,0,0,0,1,1,h00
-7.991e-05,0,0,0,1,1,h00
-7.99e-05,0,0,0,1,1,h00
-7.989e-05,0,0,0,1,1,h00
-7.988e-05,0,0,0,1,1,h00
-7.987000000000001e-05,0,0,0,1,0,h00
-7.986e-05,0,0,0,1,0,h00
-7.985e-05,0,0,0,1,0,h00
-7.983999999999999e-05,0,0,0,1,0,h00
-7.983e-05,0,0,0,1,0,h00
-7.982e-05,0,0,0,1,0,h00
-7.981e-05,0,0,0,1,1,h00
-7.98e-05,0,0,0,1,1,h00
-7.978999999999999e-05,0,0,0,1,1,h00
-7.978e-05,0,0,0,1,1,h00
-7.977e-05,0,0,0,1,1,h00
-7.976e-05,0,0,0,1,1,h00
-7.975e-05,0,0,0,1,1,h00
-7.974000000000001e-05,0,0,0,1,0,h00
-7.973e-05,0,0,0,1,0,h00
-7.972e-05,0,0,0,1,0,h00
-7.970999999999999e-05,0,0,0,1,0,h00
-7.97e-05,0,0,0,1,0,h00
-7.969e-05,0,0,0,1,0,h00
-7.968e-05,0,0,0,1,1,h00
-7.967e-05,0,0,0,1,1,h00
-7.966000000000001e-05,0,0,0,1,1,h00
-7.965e-05,0,0,0,1,1,h00
-7.964e-05,0,0,0,1,1,h00
-7.962999999999999e-05,0,0,0,1,1,h00
-7.962e-05,0,0,0,1,1,h00
-7.961000000000001e-05,0,0,0,1,0,h00
-7.96e-05,0,0,0,1,0,h00
-7.959e-05,0,0,0,1,0,h00
-7.957999999999999e-05,0,0,0,1,0,h00
-7.957e-05,0,0,0,1,0,h00
-7.956e-05,0,0,0,1,0,h00
-7.955e-05,0,0,0,1,1,h00
-7.954e-05,0,0,0,1,1,h00
-7.953000000000001e-05,0,0,0,1,1,h00
-7.952e-05,0,0,0,1,1,h00
-7.951e-05,0,0,0,1,1,h00
-7.949999999999999e-05,0,0,0,1,1,h00
-7.949e-05,0,0,0,1,0,h00
-7.948e-05,0,0,0,1,0,h00
-7.947e-05,0,0,0,1,0,h00
-7.946e-05,0,0,0,1,0,h00
