#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321A36C31
#Date Time: 2024-12-14 01:28:08.904
#Sample rate: 5e+07Hz
#Samples: 16384

Time (s),clk,ser3,ser1,ser2,rclk,srclk
-8.381999999999999e-05,0,0,0,0,0,0
-8.38e-05,0,0,0,0,0,0
-8.378e-05,0,0,0,0,0,0
-8.376e-05,0,0,0,0,0,0
-8.373999999999999e-05,0,0,0,0,0,0
-8.372e-05,0,0,0,0,0,0
-8.37e-05,0,0,0,0,0,0
-8.368e-05,0,0,0,0,0,0
-8.366e-05,0,0,0,0,0,0
-8.364000000000001e-05,0,0,0,0,0,0
-8.362e-05,0,0,0,0,0,0
-8.36e-05,0,0,0,0,0,0
-8.358e-05,0,0,0,0,0,0
-8.356000000000001e-05,0,0,0,0,0,0
-8.354e-05,0,0,0,0,0,0
-8.352e-05,0,0,0,0,0,0
-8.35e-05,0,0,0,0,0,0
-8.347999999999999e-05,0,0,0,0,0,0
-8.346e-05,0,0,0,0,0,0
-8.344e-05,0,0,0,0,0,0
-8.342e-05,0,0,0,0,0,0
-8.339999999999999e-05,0,0,0,0,0,0
-8.338e-05,0,0,0,0,0,0
-8.336e-05,0,0,0,0,0,0
-8.334e-05,0,0,0,0,0,0
-8.332e-05,0,0,0,0,0,0
-8.330000000000001e-05,0,0,0,0,0,0
-8.328e-05,0,0,0,0,0,0
-8.326e-05,0,0,0,0,0,0
-8.324e-05,0,0,0,0,0,0
-8.322000000000001e-05,0,0,0,0,0,0
-8.32e-05,0,0,0,0,0,0
-8.318e-05,0,0,0,0,0,0
-8.316e-05,0,0,0,0,0,0
-8.313999999999999e-05,0,0,0,0,0,0
-8.312e-05,0,0,0,0,0,0
-8.31e-05,0,0,0,0,0,0
-8.308e-05,0,0,0,0,0,0
-8.305999999999999e-05,0,0,0,0,0,0
-8.304e-05,0,0,0,0,0,0
-8.302e-05,0,0,0,0,0,0
-8.3e-05,0,0,0,0,0,0
-8.297999999999999e-05,0,0,0,0,0,0
-8.296000000000001e-05,0,0,0,0,0,0
-8.294e-05,0,0,0,0,0,0
-8.292e-05,0,0,0,0,0,0
-8.29e-05,0,0,0,0,0,0
-8.288000000000001e-05,0,0,0,0,0,0
-8.286e-05,0,0,0,0,0,0
-8.284e-05,0,0,0,0,0,0
-8.282e-05,0,0,0,0,0,0
-8.279999999999999e-05,0,0,0,0,0,0
-8.278e-05,0,0,0,0,0,0
-8.276e-05,0,0,0,0,0,0
-8.274e-05,0,0,0,0,0,0
-8.271999999999999e-05,0,0,0,0,0,0
-8.27e-05,0,0,0,0,0,0
-8.268e-05,0,0,0,0,0,0
-8.266e-05,0,0,0,0,0,0
-8.263999999999999e-05,0,0,0,0,0,0
-8.262000000000001e-05,0,0,0,0,0,0
-8.26e-05,0,0,0,0,0,0
-8.258e-05,0,0,0,0,0,0
-8.256e-05,0,0,0,0,0,0
-8.254000000000001e-05,0,0,0,0,0,0
-8.252e-05,0,0,0,0,0,0
-8.25e-05,0,0,0,0,0,0
-8.248e-05,0,0,0,0,0,0
-8.246000000000001e-05,0,0,0,0,0,0
-8.244e-05,0,0,0,0,0,0
-8.242e-05,0,0,0,0,0,0
-8.24e-05,0,0,0,0,0,0
-8.237999999999999e-05,0,0,0,0,0,0
-8.236e-05,0,0,0,0,0,0
-8.234e-05,0,0,0,0,0,0
-8.232e-05,0,0,0,0,0,0
-8.229999999999999e-05,0,0,0,0,0,0
-8.228000000000001e-05,0,0,0,0,0,0
-8.226e-05,0,0,0,0,0,0
-8.224e-05,0,0,0,0,0,0
-8.222e-05,0,0,0,0,0,0
-8.220000000000001e-05,0,0,0,0,0,0
-8.218e-05,0,0,0,0,0,0
-8.216e-05,0,0,0,0,0,0
-8.214e-05,0,0,0,0,0,0
-8.212000000000001e-05,0,0,0,0,0,0
-8.21e-05,0,0,0,0,0,0
-8.208e-05,0,0,0,0,0,0
-8.206e-05,0,0,0,0,0,0
-8.203999999999999e-05,0,0,0,0,0,0
-8.202e-05,0,0,0,0,0,0
-8.2e-05,0,0,0,0,0,0
-8.198e-05,0,0,0,0,0,0
-8.195999999999999e-05,0,0,0,0,0,0
-8.194e-05,0,0,0,0,0,0
-8.192e-05,0,0,0,0,0,0
-8.19e-05,0,0,0,0,0,0
-8.188e-05,0,0,0,0,0,0
-8.186000000000001e-05,0,0,0,0,0,0
-8.184e-05,0,0,0,0,0,0
-8.182e-05,0,0,0,0,0,0
-8.18e-05,0,0,0,0,0,0
-8.178000000000001e-05,0,0,0,0,0,0
-8.176e-05,0,0,0,0,0,0
-8.174e-05,0,0,0,0,0,0
-8.172e-05,0,0,0,0,0,0
-8.169999999999999e-05,0,0,0,0,0,0
-8.168e-05,0,0,0,0,0,0
-8.166e-05,0,0,0,0,0,0
-8.164e-05,0,0,0,0,0,0
-8.161999999999999e-05,0,0,0,0,0,0
