#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321A36C31
#Date Time: 2024-12-14 10:09:01.613
#Sample rate: 2.5e+07Hz
#Samples: 16384

Time (s),ser3,ser1,ser2,rclk,srclk,clk
-0.00012764,0,0,0,0,0,0
-0.0001276,0,0,0,0,0,0
-0.00012756,0,0,0,0,0,0
-0.00012752,0,0,0,0,0,0
-0.00012748,0,0,0,0,0,0
-0.00012744,0,0,0,0,0,0
-0.0001274,0,0,0,0,0,0
-0.00012736,0,0,0,0,0,0
-0.00012732,0,0,0,0,0,0
-0.00012728,0,0,0,0,0,0
-0.00012724,0,0,0,0,0,0
-0.0001272,0,0,0,0,0,0
-0.00012716,0,0,0,0,0,0
-0.00012712,0,0,0,0,0,0
-0.00012708,0,0,0,0,0,0
-0.00012704,0,0,0,0,0,0
-0.000127,0,0,0,0,0,0
-0.00012696,0,0,0,0,0,0
-0.00012692,0,0,0,0,0,0
-0.00012688,0,0,0,0,0,0
-0.00012684,0,0,0,0,0,0
-0.0001268,0,0,0,0,0,0
-0.00012676,0,0,0,0,0,0
-0.00012672,0,0,0,0,0,0
-0.00012668,0,0,0,0,0,0
-0.00012664,0,0,0,0,0,0
-0.0001266,0,0,0,0,0,0
-0.00012656,0,0,0,0,0,0
-0.00012652,0,0,0,0,0,0
-0.00012648,0,0,0,0,0,0
-0.00012644,0,0,0,0,0,0
-0.0001264,0,0,0,0,0,0
-0.00012636,0,0,0,0,0,0
-0.00012632,0,0,0,0,0,0
-0.00012628,0,0,0,0,0,0
-0.00012624,0,0,0,0,0,0
-0.0001262,0,0,0,0,0,0
-0.00012616,0,0,0,0,0,0
-0.00012612,0,0,0,0,0,0
-0.00012608,0,0,0,0,0,0
-0.00012604,0,0,0,0,0,0
-0.000126,0,0,0,0,0,0
-0.00012596,0,0,0,0,0,0
-0.00012592,0,0,0,0,0,0
-0.00012588,0,0,0,0,0,0
-0.00012584,0,0,0,0,0,0
-0.0001258,0,0,0,0,0,0
-0.00012576,0,0,0,0,0,0
-0.00012572,0,0,0,0,0,0
-0.00012568,0,0,0,0,0,0
-0.00012564,0,0,0,0,0,0
-0.0001256,0,0,0,0,0,0
-0.00012556,0,0,0,0,0,0
-0.00012552,0,0,0,0,0,0
-0.00012548,0,0,0,0,0,0
-0.00012544,0,0,0,0,0,0
-0.0001254,0,0,0,0,0,0
-0.00012536,0,0,0,0,0,0
-0.00012532,0,0,0,0,0,0
-0.00012528,0,0,0,0,0,0
-0.00012524,0,0,0,0,0,0
-0.0001252,0,0,0,0,0,0
-0.00012516,0,0,0,0,0,0
-0.00012512,0,0,0,0,0,0
-0.00012508,0,0,0,0,0,0
-0.00012504,0,0,0,0,0,0
-0.000125,0,0,0,0,0,0
-0.00012496,0,0,0,0,0,0
-0.00012492,0,0,0,0,0,0
-0.00012488,0,0,0,0,0,0
-0.00012484,0,0,0,0,0,0
-0.0001248,0,0,0,0,0,0
-0.00012476,0,0,0,0,0,0
-0.00012472,0,0,0,0,0,0
-0.00012468,0,0,0,0,0,0
-0.00012464,0,0,0,0,0,0
-0.0001246,0,0,0,0,0,0
-0.00012456,0,0,0,0,0,0
-0.00012452,0,0,0,0,0,0
-0.00012448,0,0,0,0,0,0
-0.00012444,0,0,0,0,0,0
-0.0001244,0,0,0,0,0,0
-0.00012436,0,0,0,0,0,0
-0.00012432,0,0,0,0,0,0
-0.00012428,0,0,0,0,0,0
-0.00012424,0,0,0,0,0,0
-0.0001242,0,0,0,0,0,0
-0.00012416,0,0,0,0,0,0
-0.00012412,0,0,0,0,0,0
-0.00012408,0,0,0,0,0,0
-0.00012404,0,0,0,0,0,0
-0.000124,0,0,0,0,0,0
-0.00012396,0,0,0,0,0,0
-0.00012392,0,0,0,0,0,0
-0.00012388,0,0,0,0,0,0
-0.00012384,0,0,0,0,0,0
-0.0001238,0,0,0,0,0,0
-0.00012376,0,0,0,0,0,0
-0.00012372,0,0,0,0,0,0
-0.00012368,0,0,0,0,0,0
-0.00012364,0,0,0,0,0,0
-0.0001236,0,0,0,0,0,0
-0.00012356,0,0,0,0,0,0
-0.00012352,0,0,0,0,0,0
-0.00012348,0,0,0,0,0,0
-0.00012344,0,0,0,0,0,0
-0.0001234,0,0,0,0,0,0
-0.00012336,0,0,0,0,0,0
-0.00012332,0,0,0,0,0,0
-0.00012328,0,0,0,0,0,0
-0.00012324,0,0,0,0,0,0
-0.0001232,0,0,0,0,0,0
-0.00012316,0,0,0,0,0,0
-0.00012312,0,0,0,0,0,0
-0.00012308,0,0,0,0,0,0
-0.00012304,0,0,0,0,0,0
-0.000123,0,0,0,0,0,0
-0.00012296,0,0,0,0,0,0
-0.00012292,0,0,0,0,0,0
-0.00012288,0,0,0,0,0,0
-0.00012284,0,0,0,0,0,0
-0.0001228,0,0,0,0,0,0
-0.00012276,0,0,0,0,0,0
-0.00012272,0,0,0,0,0,0
-0.00012268,0,0,0,0,0,0
-0.00012264,0,0,0,0,0,0
-0.0001226,0,0,0,0,0,0
-0.00012256,0,0,0,0,0,0
-0.00012252,0,0,0,0,0,0
-0.00012248,0,0,0,0,0,0
-0.00012244,0,0,0,0,0,0
-0.0001224,0,0,0,0,0,0
